,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
sweet corn chicken soup,can of cream of corm,bunches of scallions or spring onions,chicken broth,chicken,olive oil,pods of garlic,soy sauce,vinegar,green chillies,corn starch or corn flour,egg,can of cream of corm,bunches of scallions or spring onions,chicken broth,chicken,olive oil,pods of garlic,soy sauce,vinegar,green chillies,corn starch or corn flour,egg,can of cream of corm,bunches of scallions or spring onions,chicken broth,chicken,olive oil,pods of garlic,soy sauce,vinegar,green chillies,corn starch or corn flour,egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strawberry santas,box of fresh strawberries,condense milk,vanilla essence,mascarpone cheese,chocolate chips,box of fresh strawberries,condense milk,vanilla essence,mascarpone cheese,chocolate chips,box of fresh strawberries,condense milk,vanilla essence,mascarpone cheese,chocolate chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paneer kadai,paneer,onions,large green pepper or capsium,large onion,ginger -garlic paste,kashmiri chillies,dhania or coriander seeds,jeera,peppercorn,cinanmon stick,cooking oil,salt to taste,paneer,onions,large green pepper or capsium,large onion,ginger -garlic paste,kashmiri chillies,dhania or coriander seeds,jeera,peppercorn,cinanmon stick,cooking oil,salt to taste,paneer,onions,large green pepper or capsium,large onion,ginger -garlic paste,kashmiri chillies,dhania or coriander seeds,jeera,peppercorn,cinanmon stick,cooking oil,salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan beef croquettes,lean ground beef,ginger/garlic paste,garam masala,onions,chilies,egg,bread slices (without crust),vinegar,coriander leaves,semolina (rawa),lean ground beef,ginger/garlic paste,garam masala,onions,chilies,egg,bread slices (without crust),vinegar,coriander leaves,semolina (rawa),lean ground beef,ginger/garlic paste,garam masala,onions,chilies,egg,bread slices (without crust),vinegar,coriander leaves,semolina (rawa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan egg chops,potatoes,eggs,coriander powder,dry parsley flakes,semolina (rawa),oil for frying,salt to taste,potatoes,eggs,coriander powder,dry parsley flakes,semolina (rawa),oil for frying,salt to taste,potatoes,eggs,coriander powder,dry parsley flakes,semolina (rawa),oil for frying,salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan sunkattam koddi shrimp curry,shrimp (peeled and deveined),red kashmiri chilies,garlic flakes,onion,ginger/garlic paste,desiccated coconut,coriander seeds,cumin,turmeric powder,tamarind (soak in 1/4 cup water),chicken stock cube (maggi),coconut milk,green or red chilies (fresh),salt to taste,shrimp (peeled and deveined),red kashmiri chilies,garlic flakes,onion,ginger/garlic paste,desiccated coconut,coriander seeds,cumin,turmeric powder,tamarind (soak in 1/4 cup water),chicken stock cube (maggi),coconut milk,green or red chilies (fresh),salt to taste,shrimp (peeled and deveined),red kashmiri chilies,garlic flakes,onion,ginger/garlic paste,desiccated coconut,coriander seeds,cumin,turmeric powder,tamarind (soak in 1/4 cup water),chicken stock cube (maggi),coconut milk,green or red chilies (fresh),salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prawns pickle,prawns cleaned and deveined,turmeric,kashmiri chili powder,salt,oil,split mustard seeds,curry leaves,garlic,vinegar,prawns cleaned and deveined,turmeric,kashmiri chili powder,salt,oil,split mustard seeds,curry leaves,garlic,vinegar,prawns cleaned and deveined,turmeric,kashmiri chili powder,salt,oil,split mustard seeds,curry leaves,garlic,vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kangaanchi usli,medium sized sweet potatoes,green chilies slit,freshly grated coconut,salt,jaggery or sugar (optional),water,medium sized sweet potatoes,green chilies slit,freshly grated coconut,salt,jaggery or sugar (optional),water,medium sized sweet potatoes,green chilies slit,freshly grated coconut,salt,jaggery or sugar (optional),water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan wedding stew,beef,pork,chicken,ginger/garlic paste,salt,potatoes (1.5 cup - cubed),onions (1 cup - chopped fine),carrots - cubed,green peas,macaroni/pasta,cumin powder,coriander powder,inch cinnamon,cloves (optional),cardamom (optional),chilies,tomato paste,salt to taste,beef,pork,chicken,ginger/garlic paste,salt,potatoes (1.5 cup - cubed),onions (1 cup - chopped fine),carrots - cubed,green peas,macaroni/pasta,cumin powder,coriander powder,inch cinnamon,cloves (optional),cardamom (optional),chilies,tomato paste,salt to taste,beef,pork,chicken,ginger/garlic paste,salt,potatoes (1.5 cup - cubed),onions (1 cup - chopped fine),carrots - cubed,green peas,macaroni/pasta,cumin powder,coriander powder,inch cinnamon,cloves (optional),cardamom (optional),chilies,tomato paste,salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetarian pulao,basmati rice,"ginger, garlic paste",cauliflower florets,carrot cut into slices,green peas,salt to taste,cloves,cinnamon sticks,pepercorns,cardmoms,green chilli crushed,ghee,onions,cashewnuts,lemon juice,basmati rice,"ginger, garlic paste",cauliflower florets,carrot cut into slices,green peas,salt to taste,cloves,cinnamon sticks,pepercorns,cardmoms,green chilli crushed,ghee,onions,cashewnuts,lemon juice,basmati rice,"ginger, garlic paste",cauliflower florets,carrot cut into slices,green peas,salt to taste,cloves,cinnamon sticks,pepercorns,cardmoms,green chilli crushed,ghee,onions,cashewnuts,lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indian vegetarian sizzlers,cooked rice,carrot,fresh green beans,cauliflower florets,potato,tomato ketchup,"red chilli, garlic sauce",green chilli sauce,soya sauce,vinegar,salt to taste,sugar,onion,paneer,garlic cloves,green chilli,cabbage leaves,spinach leaves,green peas,beet root,garam masala,baby corns,cooking oil,butter,cooked rice,carrot,fresh green beans,cauliflower florets,potato,tomato ketchup,"red chilli, garlic sauce",green chilli sauce,soya sauce,vinegar,salt to taste,sugar,onion,paneer,garlic cloves,green chilli,cabbage leaves,spinach leaves,green peas,beet root,garam masala,baby corns,cooking oil,butter,cooked rice,carrot,fresh green beans,cauliflower florets,potato,tomato ketchup,"red chilli, garlic sauce",green chilli sauce,soya sauce,vinegar,salt to taste,sugar,onion,paneer,garlic cloves,green chilli,cabbage leaves,spinach leaves,green peas,beet root,garam masala,baby corns,cooking oil,butter,,,,,,,,,,,,,,,,,,,,,
lauki halwa,grated bottle gourd,sugar,pure ghee,cardamom powder,milk cream,khoya,almonds,cashew nuts,raisins,grated bottle gourd,sugar,pure ghee,cardamom powder,milk cream,khoya,almonds,cashew nuts,raisins,grated bottle gourd,sugar,pure ghee,cardamom powder,milk cream,khoya,almonds,cashew nuts,raisins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
batata potato bhaji,potatoes (medium),onions (medium),chilies,mustard seeds,turmeric,curry leaves,coriander powder (optional),vegetable bouillon (maggi),water,chopped coriander or parsley,potatoes (medium),onions (medium),chilies,mustard seeds,turmeric,curry leaves,coriander powder (optional),vegetable bouillon (maggi),water,chopped coriander or parsley,potatoes (medium),onions (medium),chilies,mustard seeds,turmeric,curry leaves,coriander powder (optional),vegetable bouillon (maggi),water,chopped coriander or parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crab stuffed jalapenos,jalapenos,crab meat,milk,cloves of garlic finely chopped,pepper powder,parsley,butter,olive oil,cheese cubes,salt,all purpose flour,,jalapenos,crab meat,milk,cloves of garlic finely chopped,pepper powder,parsley,butter,olive oil,cheese cubes,salt,all purpose flour,,jalapenos,crab meat,milk,cloves of garlic finely chopped,pepper powder,parsley,butter,olive oil,cheese cubes,salt,all purpose flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fried onion moong rice,cooked rice,fried onions,sprouted moong beans or peas,oil,cumin,salt,cooked rice,fried onions,sprouted moong beans or peas,oil,cumin,salt,cooked rice,fried onions,sprouted moong beans or peas,oil,cumin,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dal red lentil curry,red lentils (masoor dal),onion,tomatoes (chopped),desiccated or fresh ground coconut,green chili,curry leaves,garlic cloves,ginger,cumin,mustard seeds,turmeric,salt to taste,red lentils (masoor dal),onion,tomatoes (chopped),desiccated or fresh ground coconut,green chili,curry leaves,garlic cloves,ginger,cumin,mustard seeds,turmeric,salt to taste,red lentils (masoor dal),onion,tomatoes (chopped),desiccated or fresh ground coconut,green chili,curry leaves,garlic cloves,ginger,cumin,mustard seeds,turmeric,salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate pancakes,all purpose flour,unsweeted cocoa powder,sugar,baking powder,salt,sugar,milk,eggs,butter,vanilla essence,oil to fry,whipped cream for garnish,nutella or chocolate syrup for garnish,all purpose flour,unsweeted cocoa powder,sugar,baking powder,salt,sugar,milk,eggs,butter,vanilla essence,oil to fry,whipped cream for garnish,nutella or chocolate syrup for garnish,all purpose flour,unsweeted cocoa powder,sugar,baking powder,salt,sugar,milk,eggs,butter,vanilla essence,oil to fry,whipped cream for garnish,nutella or chocolate syrup for garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paan bites,beetle nut leaves,gulkandh,saunf/ fennel seeds,dry coconut,tutifruity,beetle nut leaves,gulkandh,saunf/ fennel seeds,dry coconut,tutifruity,beetle nut leaves,gulkandh,saunf/ fennel seeds,dry coconut,tutifruity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muskachi bhaji,drumstick leaves,jaggery,salt,chopped onion,grated coconut,green chilies chopped,water,masoor dal,drumstick leaves,jaggery,salt,chopped onion,grated coconut,green chilies chopped,water,masoor dal,drumstick leaves,jaggery,salt,chopped onion,grated coconut,green chilies chopped,water,masoor dal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan fish cutlets,cans tuna,onion (chopped fine),ginger/garlic paste,chilies,coriander powder,turmeric powder,parsley flakes or small bunch cilantro,slice bread (crust removed) cut into cubes,lime juice,egg,semolina (rawa),salt to taste,oil for frying,cans tuna,onion (chopped fine),ginger/garlic paste,chilies,coriander powder,turmeric powder,parsley flakes or small bunch cilantro,slice bread (crust removed) cut into cubes,lime juice,egg,semolina (rawa),salt to taste,oil for frying,cans tuna,onion (chopped fine),ginger/garlic paste,chilies,coriander powder,turmeric powder,parsley flakes or small bunch cilantro,slice bread (crust removed) cut into cubes,lime juice,egg,semolina (rawa),salt to taste,oil for frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan chicken xacuti,chicken,onion (finely chopped),tamarind (soak in 1/4 cup hot water),salt to taste,pinch or two of sugar,roast and grind to a thick paste the ingredients below this,onion (sliced),cup desiccated coconut,turmeric,coconut oil,kashmiri chilies,cumin seeds,peppercorn,fennel seed,garlic flakes,cloves,poppy seeds,coriander seeds,inch cinnamon,cardamom,star anise,chicken,onion (finely chopped),tamarind (soak in 1/4 cup hot water),salt to taste,pinch or two of sugar,roast and grind to a thick paste the ingredients below this,onion (sliced),cup desiccated coconut,turmeric,coconut oil,kashmiri chilies,cumin seeds,peppercorn,fennel seed,garlic flakes,cloves,poppy seeds,coriander seeds,inch cinnamon,cardamom,star anise,chicken,onion (finely chopped),tamarind (soak in 1/4 cup hot water),salt to taste,pinch or two of sugar,roast and grind to a thick paste the ingredients below this,onion (sliced),cup desiccated coconut,turmeric,coconut oil,kashmiri chilies,cumin seeds,peppercorn,fennel seed,garlic flakes,cloves,poppy seeds,coriander seeds,inch cinnamon,cardamom,star anise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kokandudhi kheer,sugar,bottle gourd(about 3/4th foot long),evaporated milk,unsweetened condensed milk,ghee,cardamom powder,sliced almonds,sugar,bottle gourd(about 3/4th foot long),evaporated milk,unsweetened condensed milk,ghee,cardamom powder,sliced almonds,sugar,bottle gourd(about 3/4th foot long),evaporated milk,unsweetened condensed milk,ghee,cardamom powder,sliced almonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saggubiyyam payasam,sabudanasaggubiyyam/sago soaked overnight in water,full fat milk,ghee,sugar -adjust based on desired level of sweetness,cashews,raisins,sabudanasaggubiyyam/sago soaked overnight in water,full fat milk,ghee,sugar -adjust based on desired level of sweetness,cashews,raisins,sabudanasaggubiyyam/sago soaked overnight in water,full fat milk,ghee,sugar -adjust based on desired level of sweetness,cashews,raisins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beaten coffee,instant coffee,sugar or as per your taste,water,milk,instant coffee,sugar or as per your taste,water,milk,instant coffee,sugar or as per your taste,water,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spring salad,fresh strawberries,toasted walnuts,sugar,salt,olive oil,apple cider vinegar,fresh spring mix,fresh strawberries,toasted walnuts,sugar,salt,olive oil,apple cider vinegar,fresh spring mix,fresh strawberries,toasted walnuts,sugar,salt,olive oil,apple cider vinegar,fresh spring mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan onion curry,fresh grated coconut,kashmiri chilies,salt,coriander seeds,water,kokum or solaam,teflaam or schezuan peppers,large onion- sliced,turmeric powder,coconut oil,fresh grated coconut,kashmiri chilies,salt,coriander seeds,water,kokum or solaam,teflaam or schezuan peppers,large onion- sliced,turmeric powder,coconut oil,fresh grated coconut,kashmiri chilies,salt,coriander seeds,water,kokum or solaam,teflaam or schezuan peppers,large onion- sliced,turmeric powder,coconut oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paatal batat bhaji,large potatoes,salt,water,turmeric powder,asafetida,curry leaves,green chilies,cloves of garlic,oil,cumin seeds,large potatoes,salt,water,turmeric powder,asafetida,curry leaves,green chilies,cloves of garlic,oil,cumin seeds,large potatoes,salt,water,turmeric powder,asafetida,curry leaves,green chilies,cloves of garlic,oil,cumin seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avocado sardine spread,cans of sardines in oil (3.75 oz can),avocados,black pepper powder,lime juice,finely chopped onion,capers,salt,cans of sardines in oil (3.75 oz can),avocados,black pepper powder,lime juice,finely chopped onion,capers,salt,cans of sardines in oil (3.75 oz can),avocados,black pepper powder,lime juice,finely chopped onion,capers,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aanth,fish roe,chopped onion,desiccated coconut,chopped cilantro or coriander leaves,salt,garam masala powder,turmeric,red chili powder,coconut oil to fry,tamarind paste,,fish roe,chopped onion,desiccated coconut,chopped cilantro or coriander leaves,salt,garam masala powder,turmeric,red chili powder,coconut oil to fry,tamarind paste,,fish roe,chopped onion,desiccated coconut,chopped cilantro or coriander leaves,salt,garam masala powder,turmeric,red chili powder,coconut oil to fry,tamarind paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kalvaa tonak,cleaned oysters,sliced onion,desiccated coconut,salt,small potatoes diced,garam masala powder,turmeric,red chili powder,garlic cloves,coconut oil,cilantro for garnishing,cleaned oysters,sliced onion,desiccated coconut,salt,small potatoes diced,garam masala powder,turmeric,red chili powder,garlic cloves,coconut oil,cilantro for garnishing,cleaned oysters,sliced onion,desiccated coconut,salt,small potatoes diced,garam masala powder,turmeric,red chili powder,garlic cloves,coconut oil,cilantro for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kailoreo,rice flour,dessicated coconut,salt,water,oil,rice flour,dessicated coconut,salt,water,oil,rice flour,dessicated coconut,salt,water,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mango lassi,mango pulp,yogurt or curd,sugar (optional),"cardamom pods, powdered",few strands of saffron (optional),mango pulp,yogurt or curd,sugar (optional),"cardamom pods, powdered",few strands of saffron (optional),mango pulp,yogurt or curd,sugar (optional),"cardamom pods, powdered",few strands of saffron (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomato ginger chutney,tomatoes diced,inches ginger,salt,red chili powder,mustard seeds,chana dal,urad dal,coconut oil,curry leaves,tamarind paste,peanuts,dry red chilies,pinch asafetida,tomatoes diced,inches ginger,salt,red chili powder,mustard seeds,chana dal,urad dal,coconut oil,curry leaves,tamarind paste,peanuts,dry red chilies,pinch asafetida,tomatoes diced,inches ginger,salt,red chili powder,mustard seeds,chana dal,urad dal,coconut oil,curry leaves,tamarind paste,peanuts,dry red chilies,pinch asafetida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lal mirchwala mutton,bone in mutton cleaned and cut into cubes,dry kashmiri chilies,bay leaves,cinnamon sticks,cardamon,black cardamon,black pepper,coriander seeds,cumin seeds,star anise,inch piece of mace,salt (marination),ginger garlic paste (marination),water,cloves of garlic- crushed,salt,ghee,mutton/ chicken stock,large onion diced,bone in mutton cleaned and cut into cubes,dry kashmiri chilies,bay leaves,cinnamon sticks,cardamon,black cardamon,black pepper,coriander seeds,cumin seeds,star anise,inch piece of mace,salt (marination),ginger garlic paste (marination),water,cloves of garlic- crushed,salt,ghee,mutton/ chicken stock,large onion diced,bone in mutton cleaned and cut into cubes,dry kashmiri chilies,bay leaves,cinnamon sticks,cardamon,black cardamon,black pepper,coriander seeds,cumin seeds,star anise,inch piece of mace,salt (marination),ginger garlic paste (marination),water,cloves of garlic- crushed,salt,ghee,mutton/ chicken stock,large onion diced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutton sukka,boneless mutton cleaned and cut into cubes,salt (marinate),ginger garlic paste (marinate),dry desiccated coconut,poppy seeds,coriander seeds,bay leaves,cloves,black pepper corns,cinnamon sticks,cardamons,black cardamon,star anise,inch mace,shahi jeera or black cumin,water,chicken/ mutton stock,large onion diced,salt,ginger garlic paste,turmeric,red chili powder,garam masala powder,coconut oil,boneless mutton cleaned and cut into cubes,salt (marinate),ginger garlic paste (marinate),dry desiccated coconut,poppy seeds,coriander seeds,bay leaves,cloves,black pepper corns,cinnamon sticks,cardamons,black cardamon,star anise,inch mace,shahi jeera or black cumin,water,chicken/ mutton stock,large onion diced,salt,ginger garlic paste,turmeric,red chili powder,garam masala powder,coconut oil,boneless mutton cleaned and cut into cubes,salt (marinate),ginger garlic paste (marinate),dry desiccated coconut,poppy seeds,coriander seeds,bay leaves,cloves,black pepper corns,cinnamon sticks,cardamons,black cardamon,star anise,inch mace,shahi jeera or black cumin,water,chicken/ mutton stock,large onion diced,salt,ginger garlic paste,turmeric,red chili powder,garam masala powder,coconut oil,,,,,,,,,,,,,,,,,,,,,
