,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Makai na Rotla,1 cup maize flour (makai ka atta),1/2 cup whole wheat flour (gehun ka atta),1 tbsp finely chopped green chillies,1 tbsp ginger-garlic (adrak-lehsun) paste,2 tbsp fresh curds (dahi),2 tsp oil,1 tbsp sesame seeds (til), salt to taste, oil for cooking, whole wheat flour (gehun ka atta) for rolloing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dal Chawal Palidu,1 cup toovar (arhar),2 cups cooked long grained rice (basmati),2 chopped onions,2 chopped tomatoes,2 sliced tomatoes,2 tsp garlic (lehsun) paste,2 tsp green chilli paste,1/2 tsp turmeric powder (haldi),1/2 tsp coriander (dhania) powder,1/2 tsp red chilli powder,4 to 6 chopped drumsticks,1 tsp cumin seeds (jeera),1/2 tsp fenugreek (methi) leaves,1/2 tsp whole wheat flour (gehun ka atta),1 tbsp besan (bengal gram flour),6 to 7 curry leaves (kadi patta),6 tsp oil, chopped coriander (dhania) for garnishing,,,,,,,,,,,,,,,,,,,,
Quick Dal,100 gms moong dal (split  green gram),2 tsp oil,2 tomatoes finely chopped,1 tsp cumin seeds (jeera),1/2 tsp turmeric powder (haldi),1 tsp red chilli powder,1/2 tsp garam masala,2 tsp chopped curry leaves (kadi patta), salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasty Creamy Mix Fruit Salad,500 ml milk,2 cups sugar,4 tbsp custard powder,100 gms whipped cream,2 cups chopped mixed fruits,2 tbsp chopped mixed nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peyru Nu Shaak,1 cup chopped guava,2 tsp ghee,1 tsp cumin seeds (jeera),1/2 tsp asafoetida (hing), a few curry leaves (kadi patta), salt to taste,2 tsp coriander (dhania) seeds powder,2 tsp chilli powder,1 tsp turmeric powder (haldi),2 tsp lemon juice,4 tsp sugar, chopped coriander (dhania) for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehsuni Moong Dal,1 cup soaked yellow moong dal (split yellow gram),1/4 cup chopped green garlic (hara lehsun),1 tbsp ghee,1 tsp mustard seeds ( rai / sarson),1 tsp cumin seeds (jeera), a pinch asafoetida (hing), a few curry leaves (kadi patta), salt to taste,2 tsp coriander (dhania) seeds powder,1 tsp red chilli powder,1 tsp turmeric powder (haldi),2 slit green chillies,1 tsp finely chopped ginger (adrak),1 tsp lemon juice,2 tsp sugar,2 tsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,
Khichadi Casserole,1/4 cup toovar (arhar) dal,1/4 cup moong dal (split  green gram),1/4 cup rice (chawal),1/4 cup broken wheat (dalia), salt to taste,1 tsp turmeric powder (haldi),2 tbsp ghee," 1"" stick cinnamon (dalchini)",4 cloves (laung / lavang),2 tsp cumin seeds (jeera),1 tsp asafoetida (hing),1 tsp crushed peppercorns (kalimirch),1 tbsp ghee,1 tbsp sesame seeds (til),1/2 cup blanched green peas,1/2 cup chopped and boiled raw banana,1/2 cup chopped and blanched carrots,"1 brinjal ,  cut into quarters",2 tbsp blanched almonds (badam), salt at taste,2 tsp coriander (dhania) seeds powder,2 tsp chilli powder,1 tsp turmeric powder (haldi),2 tsp lemon juice,1 tbsp sugar,2 tsp finely chopped green chillies,1 tsp finely chopped ginger (adrak),2 tbsp finely chopped coriander (dhania), thick curd, sprouted parboiled green moong, finely chopped tomato, salt to taste, roasted fennel seeds (saunf)  (sauf) powder, papad,,,,
Tender Methi and Gauva Salad,"1 cup chopped fenugreek (methi) leaves , tender",1/2 cup chopped guava,1/4 cup chopped tomatoes,1/4 cup chopped cucumber,1 tsp grated ginger (adrak), salt to taste,1 tsp sugar,1 tsp fennel seeds (saunf) powder,2 tbsp sliced blanched almonds (badam),2 tbsp grated paneer (cottage cheese),2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauva and Mint Raita,1 cup thick whisked curds (dahi),1/2 cup grated guava,1 tbsp chopped mint leaves (phudina) leaves,1 tsp olive oil,1 tsp cumin seeds (jeera), rock salt to taste,1 tbsp roasted broke cashewnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peyru Nu Raitu,1/2 cup grated green gauva,1 cup beaten hung curds (chakka dahi), salt to taste,1 tsp powdered sugar,1 tsp grated ginger (adrak),2 tsp finely chopped green chillies,1 tbsp finely chopped coriander (dhania),2 tsp roasted cumin seeds (jeera) powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhokla Satay Sticks,"12 dhokla ,  cut into 2"" pieces","12 canned pineapple pieces , 2"" pieces",12 cucumber slices,"12 carrot slices , parboiled",2 tbsp olive oil,2 tsp cumin seeds (jeera),1/2 tsp asafoetida (hing), salt to taste,1 tsp dried fenugreek leaves  (kasuri methi),1 tsp freshly ground black pepper powder, chopped spring onions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peyru na Thepla,1 cup whole wheat flour (gehun ka atta),3/4 cup grated guava,2 tsp coriander (dhania) seeds powder,1 tsp red chilli powder,1 tsp turmeric powder (haldi), salt to taste,1 tbsp oil,1 tbsp chopped coriander (dhania),1 tsp lemon juice,2 tsp powdered sugar,1 tsp grated ginger (adrak),1 tsp finely chopped green chillies,2 tbsp chopped fenugreek (methi) leaves, oil for cooking,,,,,,,,,,,,,,,,,,,,,,,,
Brinjal Dal,1 cup cooked vaal (field beans/ butter beans),1/2 cup chopped brinjal (baingan / eggplant),1 tbsp ghee,1 tsp mustard seeds ( rai / sarson),1 tsp cumin seeds (jeera),1 tsp asafoetida (hing), salt to taste,1 tsp coriander (dhania) seeds powder,1 tsp red chilli powder,1 tsp turmeric powder (haldi),1 tsp grated jaggery (gur),1 tsp chopped green chillies,1 tsp grated ginger (adrak), a few curry leaves (kadi patta),1/4 cup chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,
Rainy Raita,1/2 cup finely chopped cucumber,1/2 cup finely chopped spring onions whites and green,1/4 cup freshly grated coconut,1 tbsp chopped canned pineapple,2 tsp canned pineapple syrup,1 cup thick beaten curds (dahi),2 tsp finely chopped green chillies,1 tbsp finely chopped coriander (dhania),1 tsp grated ginger (adrak), salt to taste,2 tsp roasted cumin seeds (jeera) powder,2 tsp red chilli powder,1 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,
Leela Nariyal ni Bhakarvadi,400 gms freshly grated coconut,3 to 4 tbsp besan (bengal gram flour),2 tsp oil,1 1/2 tsp dried mango powder (amchur),1 tsp coriander-cumin seeds (dhania-jeera) powder,2 tbsp sesame seeds (til),2 tbsp fennel seeds (saunf),2 tbsp chilli powder,1 tbsp garam masala, salt to taste,1 tbsp powdered sugar,2 cups plain flour (maida), salt to taste,3 tbsp oil, oil for deep frying,,,,,,,,,,,,,,,,,,,,,,,
Chapati Poha,5 left over chapatis,1 tsp oil,"2 medium onions , sliced",5  chopped green chillies,4 to 5 curry leaves (kadi patta),3 cups shredded cabbage,1 cup green peas,"1 cup carrot , chopped",1/2 cup peanuts,"1 capsicum , cut lenght wise",1/2 tsp green chilli sauce,1/4 cup chopped coriander (dhania), salt to taste,1 tsp turmeric powder (haldi),,,,,,,,,,,,,,,,,,,,,,,,
Vaghareli Galka- Khichadi ( Ridge Gourd Khichdi),2 cups chopped ridge gourd (turai),"1/2 onion , chopped","1/2 potato , chopped","1/2 tomato , chopped",1/2 cup chopped french beans,"1/2 carrot , sliced",1 tbsp chopped coriander (dhania),1/2 cup sliced cabbage,"2 green chillies , chopped",3 cups rice (chawal),1/2 cup moong dal (split  green gram),1 tbsp oil,1/2 tsp cumin seeds (jeera),1/2 tsp asafoetida (hing),3 to 4 peppercorns (kalimirch),3 to 4 cloves (laung / lavang),2 tbsp chopped garlic (lehsun),1/2 tsp turmeric powder (haldi),1 tsp chilli powder, salt to taste,,,,,,,,,,,,,,,,,,
Apricot and Kesar Kheer,1 cup over cooked rice (chawal),1/2 cup apricots puree,2 tbsp finely chopped apricots,4 tbsp powdered sugar,2 tsp chirongi nuts (charoli),1/2 tsp cardamom (elaichi) powder,2 tsp saffron (kesar) strands,2 cups milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fada Nu Salad,2 cups cooked broken wheat (dalia),1/4 cup finely chopped spring onions,1/4 cup finely chopped tomatoes,2 tbsp chopped basil,1/4 cup boiled kala chana (brown chick peas),1/4 cup chopped paneer (cottage cheese),1/4 cup olive oil, salt to taste, freshly ground black pepper powder to taste,2 tbsp lemon juice,2 tsp powdered sugar,1/2 cup grated carrot,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion and Sev Raita,1 cup sev,2 cups curds (dahi), salt to taste,1/2 cup finely chopped onions,1 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuada Muthiya Nu Shaak ( Cowpeas and Muthiya Veg),1 cup grated bottle gourd (doodhi / lauki),1/2 cup jowar (white millet) flour,1/2 cup whole wheat flour (gehun ka atta),1 tbsp coriander (dhania) seeds powder,2 tsp chilli powder,1 tsp turmeric powder (haldi),2 tsp powdered cumin seeds (jeera), salt to taste,1 tbsp oil,1 tsp cooking soda,2 tbsp curds (dahi),2 tsp sugar,2 cups soaked and boiled chawli (cow pea / lobhia),1 tbsp ghee,2 tsp cumin seeds (jeera),1 tsp mustard seeds ( rai / sarson), a few curry leaves (kadi patta),1/2 tsp carom seeds (ajwain), salt to taste,2 tsp coriander (dhania) seeds powder,2 tsp chilli powder,1 tsp turmeric powder (haldi),1 tbsp jaggery (gur),4 kokum,2 tbsp fried cashewnuts (kaju),,,,,,,,,,,,,
Stuffed Thepla,2 cups whole wheat flour (gehun ka atta),1/2 cup chopped fenugreek (methi) leaves,1 tbsp coriander (dhania) seeds powder,2 tsp turmeric powder (haldi),1 tsp chilli powder,1/2 tsp asafoetida (hing), salt to taste,1 tbsp oil,1 tsp powdered sugar,1/2 cup boiled and mashed potatoes,2 tsp oil,1 tsp cumin seeds (jeera), salt to taste,1/2 tsp turmeric powder (haldi),,,,,,,,,,,,,,,,,,,,,,,,
Miini Faraali Rajgira Pizzas,1 1/2 cups rajgira flour,1/2 cup waterchestnut (shingoda) flour, salt to taste,1 tsp freshly ground black pepper powder,1 tsp roasted sesame seeds (til),"1 potato , boiled and mashed", oil for cooking,"1 cup paneer (cottage cheese) , mashed  ( homemade )",2 tsp castor sugar,1 cup chopped mixed fruits,1 tbsp chopped mixed nuts,3 tsp pineapple jam, chopped coriander (dhania), chopped mint leaves (phudina) leaves,,,,,,,,,,,,,,,,,,,,,,,,
White Chocolate and Coconut Ladoos,1/2 cup melted white chocolate,"3/4 cup dessicated coconut , roasted",1 tsp cardamom (elaichi) powder,1/2 tsp vanilla essence, dessicated coconut, tender rose petals, toasted almond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faraali Dapka Kadhi,1/4 cup grated bottle gourd (doodhi / lauki),1/4 cup arrowroot (paniphal) flour flour, salt to taste,1 tsp roasted cumin seeds (jeera) powder,1 tbsp chopped basil,1/2 cup coconut milk,1 cup water, salt to taste,1 tsp sugar,1 tbsp arrowroot (paniphal) flour flour,1 tsp finely chopped green chillies,1/2 tsp finely chopped ginger (adrak),1 tbsp ghee,2 tsp cumin seeds (jeera), a few curry leaves (kadi patta),1 whole dry kashmiri red chilli,1 stick cinnamon (dalchini), chopped coriander (dhania) for garnishing,,,,,,,,,,,,,,,,,,,,
Corn Dhokla,1 cup sweet corn kernels (makai ke dane),1/2 cup curds (dahi),1 cup semolina (rava),1/2 tsp ginger-green chilli paste,1 tsp fruit salt,1/4 tsp lemon juice,2 tsp mustard seeds ( rai / sarson), 12-15 curry leaves (kadi patta),1/2 tsp asafoetida (hing), salt to taste,1/4 cup boiled sweet corn kernels,2 tsp chopped coriander (dhania),1 tsp chopped coconut,,,,,,,,,,,,,,,,,,,,,,,,,
Faraali Buckwheat Dhokla,2 cups buckwheat (kutto or kutti no daro),2 tbsp curds (dahi), salt to taste,3 tsp ginger-green chilli paste,1 tsp freshly ground black pepper powder,2 tsp roasted and powdered peanuts,2 tsp roasted and powdered sesame seeds (til),3/4 cup chopped coriander (dhania),1 tbsp waterchestnut (shingoda) flour,2 tsp oil,2 cups curds (dahi), salt to taste,1 cup chopped coriander (dhania),1 tsp chopped green chillies,1 tsp powdered peanuts,1 tsp roasted and chopped cashewnut, chopped mint," paneer (cottage cheese) , mashed",,,,,,,,,,,,,,,,,,,,
Doodhi Salad,"1 cup peeled and finely chopped bottle gourd (doodhi / lauki) , parboiled",1/4 cup freshly grated coconut,1/4 cup pomegranate (anar) seeds,1/4 cup finely chopped apple,1/4 cup chopped orange,1/4 cup chopped spring onions, salt and freshly ground black pepper powder to taste,1 tsp cumin seeds (jeera),1 tsp powdered sugar,2 tsp olive oil,2 tbsp roasted and chopped walnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhavnagri Kachori,2 tbsp khajur imli ki chutney, salt to taste,1 tbsp roasted fennel seeds (saunf),1 tbsp roasted cumin seeds (jeera),2 tbsp roasted coriander (dhania) seeds,6 whole dry kashmiri red chillies,2 tbsp roasted sesame seeds (til),1/2 tbsp peppercorns (kalimirch),1/2 cup plain flour (maida), salt to taste,2 tsp oil, oil for deep frying,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Sweet Pancakes,1/2 cup whole wheat flour (gehun ka atta),1/4 cup quick cooking rolled oats,4 tsp powdered sugar, a pinch nutmeg (jaiphal) powder, water as required, ghee for cooking, a pinch baking soda, cardamom (elaichi) powder for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Khichu,2 cups rice flour (chawal ka atta),4 cups water,1 tbsp oil,2 tsp cumin seeds (jeera), a pinch baking soda,2 tsp ginger-green chilli paste, salt to taste,1/4 cup grated carrot,1/2 cup chopped spring onions,1/4 cup boiled sweet corn kernels (makai ka dana),1 tsp lemon juice,1/2 tsp sugar,1 tbsp cumin seeds (jeera) powder,2 tbsp olive oil, buttermilk, papad,,,,,,,,,,,,,,,,,,,,,,
Rasgulla With Fruit Custard,2 cups paneer (cottage cheese),2 tsp plain flour (maida),2 cups sugar,5 cups water, a few saffron (kesar) strands,1/2 tsp cardamom (elaichi) powder,1 ltr milk,3 tbsp cornflour,1/2 cup sugar,1/2 cup chopped apples,1/2 cup chopped pineapples,10 to 12  pralinerounds,,,,,,,,,,,,,,,,,,,,,,,,,,
Kesar Gughra,1/2 cup plain flour (maida),1/2 cup whole wheat flour (gehun ka atta),1 tbsp ghee,1 cup dessicated coconut,2 tbsp kesar milk masala,1/4 cup powdered sugar, ghee for deep frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kesar Ghevar,1 cup plain flour (maida),1/4 cup ghee,2 tbsp saffron milk masala, water as required, ghee for deep frying,2 cups sugar,2 cups water,1 tsp milk masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice Mooli Methi Dhokla,1 cup grated radish (mooli),1 cup cooked rice,1 cup whole wheat flour (gehun ka atta),1/4 cup semolina (rava),1/2 cup besan (bengal gram flour),1/2 cup chopped fenugreek (methi) leaves,1/4 cup chopped radish (mooli) leaves, salt to taste,1 tbsp coriander (dhania) powder,1 tsp turmeric powder (haldi),2 tsp chilli powder,2 tsp garam masala,2 tsp lemon juice,1 tbsp sugar,1 tbsp oil,1/2 tsp fruit salt,2 tbsp chopped coriander (dhania), water as required,2 tsp oil,1 tsp mustard seeds ( rai / sarson),1 tsp cumin seeds (jeera), a few curry leaves (kadi patta), a pinch asafoetida (hing),,,,,,,,,,,,,,,
Thepla Wrap,6  theplas,1/4 cup hung curds (chakka dahi), salt to taste,1 tsp cumin seeds (jeera) powder,1 cup boiled baby potatoes,2 tbsp chopped green garlic (hara lehsun),2 tsp ghee,2 tsp cumin seeds (jeera), salt to taste,2 tsp ginger-green chilly paste,1 tsp dried fenugreek leaves  (kasuri methi),1/4 cup chopped spring onions,1/4 cup grated processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,
Bharwa Aloo Baingan,8 small round brinjals (baingan / eggplant),8 baby potatoes,"1 tomato ,  finely chopped",3 tbsp chopped garlic (lehsun),2 tsp besan (bengal gram flour),2 tsp roasted and powdered peanuts,2 tsp coriander-cumin seeds (dhania-jeera) powder,2 tsp chilli powder,2 tsp garam masala,1/2 tsp turmeric powder (haldi),2 tsp sugar, salt to taste,3 to 4 tsp chopped coriander (dhania),1 tsp mustard seeds ( rai / sarson),1 tsp cumin seeds (jeera), a pinch of asafoetida (hing),,,,,,,,,,,,,,,,,,,,,,
Winter Magic Salad,1 cup grapes,1/4 cup grated coconut,1/4 cup chopped coriander (dhania),1/4 chopped spring onions,1/4 cup boiled sweet corn kernels (makai ke dane),1/4 cup pomegranate (anar) seeds, salt to taste,1 tsp roasted cumin seeds (jeera) powder,2 tsp olive oil,1 tsp cumin seeds (jeera),1 tsp chopped green garlic (hara lehsun),,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Dhokla,  1 cup khatta dhokla batter,1/2 cup besan (bengal gram flour),1/4 cup chopped fenugreek leaves,1/4 cup chopped spinach (palak),1 tbsp chopped coriander (dhania), salt to taste,1 tsp turmeric powder (haldi),1/2 tsp baking soda,2 tbsp hot water,1 tbsp oil,2 tsp ginger-green chilli paste,1/2 tsp carom seeds (ajwain),2 tsp oil,1 tsp mustard seeds ( rai / sarson),1/2 tsp sesame seeds (til), a pinch asafoetida (hing), a few curry leaves (kadi patta),,,,,,,,,,,,,,,,,,,,,
Hariyali Chutney,250 gms coriander (dhania), 2-3 green chilli,1 tbsp lemon juice, salt to taste,1/2 tsp cumin seeds (jeera), sugar to taste,1 tsp chopped ginger (adrak),2 tsp peanuts,2 tsp dessicated coconut,1/4 cup curds (dahi),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Grapes - Moogar Nu Shaak,1 cup soaked moong dal (split  green gram),2 cups chopped spinach (palak),1 cup grape halves,1/2 cup paneer (cottagte cheese) cubes,2 tsp ghee,1 tsp cumin seeds (jeera), a few curry leaves (kadi patta), a pinch asafoetida (hing), salt to taste,2 tsp coriander (dhania) powder,1 tsp turmeric powder (haldi),1/2 tsp fennel seeds (saunf) powder,2 tsp chopped green chillies,1 tsp chopped ginger (adrak),1 tsp sugar,,,,,,,,,,,,,,,,,,,,,,,
Mooli ka Thepla,1 cup grated radish (mooli),1/2 cup finely chopped radish leaves (mooli ke patte),1/4 cup finely chopped onions,2 tsp oil,1 tsp cumin seeds (jeera),2 cups whole wheat flour (gehun ka atta), salt to taste,2 tsp turmeric powder (haldi),1 tbsp coriander (dhania) powder,2 tsp ginger-green chilli paste,1 tbsp oil, oil for cooking,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooli Mutter Subji,1 cup grated radish (mooli),1 cup boiled green peas,1/2 cup curds (dahi),1 tbsp besan (bengal gram flour), salt to taste,2 tsp ginger-green chilli paste,1 tsp sugar,2 tsp oil,1 tsp cumin seeds (jeera), a few curry leaves (kadi patta), a pinch asafoetida (hing),1 tsp turmeric powder (haldi),2 tsp coriander-cumin seeds (dhania-jeera) powder,2 tbsp grated carrot,,,,,,,,,,,,,,,,,,,,,,,,
Suva Dhokla,2 cups instant khatta dhokla mix,1/4 cup chopped dill (shepu / suva bhaji), salt to taste,1 tbsp oil,2 pinches baking soda mixed with 1 tbsp hot water,1 tbsp ginger-green chilli paste,2 tsp oil,1 tsp mustard seeds ( rai / sarson),2 tbsp chopped dill (shepu / suva bhaji), a few curry leaves (kadi patta),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phudina Pesto,2 cups mint leaves (phudina),1/4 cup roasted and powdered walnuts (akhrot),2 tbsp olive oil, salt to taste,1 tsp freshly ground black pepper (kalimirch) powder,2 tbsp grated processed cheese,1 tsp lemon juice,"2 tsp powdered sugar , optional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suva Thepla,1/4 cup chopped dill (shepu / suva bhaji),1 cup whole wheat flour (gehun ka atta),1/4 cup besan (bengal gram flour), salt to taste,1 tsp turmeric powder (haldi),1 tsp coriander (dhania) powder,2 tsp green chilli paste,1 tsp ginger (adrak) paste,2 tsp oil, water to knead, oil for cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golkeri ( Gujrati Aam ka Achaar),5 kgs mangoes,1/2 kg mustard seeds ( rai / sarson),400 gms coriander (dhania) seeds powder,125 gms fenugreek (methi) seeds,350 gms whole dry kashmiri red chillies,2 tbsp turmeric powder (haldi),250 gms salt,1 1/2 kgs jaggery (gur),400 gms oil,2 tsp asafoetida (hing),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rawyachi Bhakri/ Rawa Pancake,"2 cups semolina (rava) (kaccha, non-roasted)",2 cups  freshly grated coconut,"1  medium sized onion, finely chopped","1  medium sized tomato, finely chopped (optional)",1 tbsp  finely chopped coriander (dhania),1/2 tsp grated ginger (adrak),1/2 tsp sugar, salt to taste, oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farali Bhakharwadi,50 gms peanuts,2 tsp poppy seeds (khus-khus),1 tsp ginger (adrak),1 tsp green chillies,1 stick cinnamon (dalchini),2 to 3 cloves (laung / lavang),1 tsp cumin seeds (jeera),3 to 4 cardamoms, salt to taste,500 gms boiled potatoes,50 gms grated coconut,1 tsp ginger (adrak) paste, salt to taste,1 tsp green chilli paste,100 gms rajgira flour, lemon juice to taste, a pinch sugar,1 tbsp chopped coriander (dhania),1 tsp sesame seeds (til), oil for frying,,,,,,,,,,,,,,,,,,
Sabudhana Kichidi,1 cup  dry sago (sabudana),1 cup roasted peeled peanuts crushed or powdered.,"3 to 4 green chillies, chopped","1 potato, finely chopped",2 tbsp chopped coriander (dhania),1/2 tsp cumin seeds (jeera),1/4 tsp sugar,1 1/2 tsp lemon juice,1 tbsp ghee or oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kela na Patra,6 colocassia leaves  (arbi ke patte),2 cups boiled and mashed raw banana,1 cup mashed potatoes,2 cups singhada flour,1/2 cup coconut,1 tbsp ginger-green chilli paste, salt to taste, a pinch sugar,1/2 tsp cumin seeds (jeera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sago and Potato Gulabjamuns,500 gms potatoes,50 gms sago (sabudana),200 gms mava (khoya), cardamom (elaichi) powder,500 gms sugar, ghee for frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yam No Handvo,250 gms  boiled yam (suran),"2  medium sized potatoes, boiled", chopped coriander (dhania),2 tsp powdered peanuts,1/2 tsp green chilli paste,1/2 tsp ginger (adrak) paste, salt as required, lemon juice as required,1 tsp oil, cumin seeds (jeera), sesame seeds (til), chopped coriander (dhania),  freshly grated coconut,,,,,,,,,,,,,,,,,,,,,,,,,
Great Khaman Dhokla,1 cup besan (bengal gram flour),1 1/2 tbsp semolina (rava),1/2 tsp citric acid (nimbu ka phool),3 tsp sugar,1 tsp ginger-green chilli paste,1 1/2 tsp fruit salt,1 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp sesame seeds (til),2 chopped green chillies, a pinch asafoetida (hing),1 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,
